Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,92.0,77.0,84.13,91.0,73.0,82.0,0.0,0.23,W,12.0,10.0,Fair,0
Uncrewed,N,93.0,78.0,84.87,91.0,73.0,82.0,0.0,0.24,E,12.0,10.0,Fair,0
Uncrewed,N,87.0,75.0,80.22,89.0,73.0,81.0,0.0,0.24,S,14.0,15.0,Partly Cloudy,0
Uncrewed,N,88.0,75.0,81.17,89.0,73.0,81.0,0.0,0.24,NW,13.0,10.0,Fair,0
Uncrewed,Y,89.0,0.0,75.21,89.0,73.0,81.0,0.0,0.24,NE,17.0,10.0,Partly Cloudy,1
Uncrewed,N,87.0,0.0,73.29,89.0,73.0,81.0,0.0,0.23,SE,17.0,10.0,Partly Cloudy,0
Uncrewed,N,90.0,0.0,79.28,89.0,73.0,81.0,0.0,0.25,SE,21.0,10.0,Cloudy,0
Uncrewed,N,84.0,72.0,78.52,85.0,69.0,77.0,0.0,0.16,E,15.0,7.0,Fair,0
Uncrewed,N,84.0,75.0,79.09,85.0,69.0,77.0,0.0,0.16,E,17.0,10.0,Partly Cloudy,0
Uncrewed,Y,82.0,73.0,77.63,84.0,68.0,76.0,0.0,0.16,NE,17.0,10.0,Cloudy,1
Uncrewed,N,82.0,66.0,74.87,84.0,68.0,76.0,0.0,0.16,NE,12.0,10.0,Partly Cloudy,0
Uncrewed,N,81.0,64.0,73.83,84.0,68.0,76.0,0.0,0.15,NE,12.0,10.0,Partly Cloudy,0
Uncrewed,N,87.0,77.0,82.06,88.0,72.0,80.0,0.08,0.25,E,17.0,10.0,Partly Cloudy,0
Uncrewed,N,84.0,74.0,78.67,87.0,72.0,80.0,0.4,0.26,NE,18.0,10.0,Cloudy,0
Uncrewed,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,Fail,1
Uncrewed,N,89.0,73.0,80.03,87.0,72.0,80.0,0.0,0.25,W,12.0,10.0,Fair,0
Uncrewed,N,89.0,77.0,82.26,87.0,72.0,79.0,0.35,0.26,NE,28.0,10.0,T-Storm,0
Uncrewed,N,86.0,0.0,76.38,84.0,68.0,76.0,0.0,0.16,W,15.0,20.0,Partly Cloudy,0
Uncrewed,N,85.0,74.0,80.48,84.0,68.0,76.0,0.0,0.15,W,14.0,20.0,Partly Cloudy,0
Uncrewed,Y,89.0,0.0,61.67,84.0,68.0,76.0,0.1,0.16,NW,16.0,20.0,Cloudy,1
Uncrewed,N,82.0,0.0,52.75,84.0,67.0,76.0,0.1,0.15,W,18.0,10.0,Rain,0
Uncrewed,N,63.0,0.0,53.91,83.0,67.0,75.0,0.0,0.16,NW,24.0,20.0,Fair,0
Uncrewed,N,87.0,70.0,78.36,91.0,73.0,82.0,0.08,0.24,E,22.0,10.0,Cloudy,0
Uncrewed,N,88.0,74.0,80.46,91.0,73.0,82.0,0.0,0.25,E,12.0,10.0,Fair,0
Uncrewed,Y,89.0,73.0,80.74,91.0,73.0,82.0,0.0,0.25,N,10.0,10.0,Fair,1
Uncrewed,N,90.0,75.0,81.52,91.0,73.0,82.0,0.0,0.26,E,14.0,10.0,Fair,0
Uncrewed,N,88.0,74.0,80.79,91.0,73.0,82.0,0.0,0.25,NE,13.0,10.0,Partly Cloudy,0
Uncrewed,N,88.0,0.0,70.64,86.0,71.0,79.0,0.3,0.21,W,14.0,20.0,Rain,0
Uncrewed,N,85.0,0.0,67.67,86.0,71.0,79.0,0.4,0.2,S,12.0,20.0,T-Storm,0
Uncrewed,Y,86.0,81.0,82.58,86.0,71.0,78.0,0.0,0.19,E,20.0,20.0,Partly Cloudy,1
Uncrewed,N,87.0,0.0,79.12,86.0,70.0,78.0,0.0,0.2,E,21.0,21.0,Cloudy,0
Uncrewed,N,86.0,0.0,75.5,86.0,70.0,78.0,0.2,0.19,NE,17.0,20.0,Partly Cloudy,0
Uncrewed,N,91.0,77.0,83.59,91.0,73.0,82.0,0.0,0.23,W,13.0,10.0,Fair,0
Uncrewed,N,92.0,75.0,83.32,91.0,73.0,82.0,0.02,0.23,W,13.0,10.0,Cloudy,0
Uncrewed,Y,93.0,77.0,84.7,91.0,73.0,82.0,0.0,0.23,NW,14.0,10.0,Fair,1
